,Time,N
600,6.00000,33.16140
601,6.01000,33.22773
602,6.02000,33.29418
603,6.03000,33.36077
604,6.04000,33.42749
605,6.05000,33.49435
606,6.06000,33.56134
607,6.07000,33.62846
608,6.08000,33.69572
609,6.09000,33.76311
610,6.10000,33.83063
611,6.11000,33.89830
612,6.12000,33.96609
613,6.13000,34.03402
614,6.14000,34.10209
615,6.15000,34.17030
616,6.16000,34.23864
617,6.17000,34.30711
618,6.18000,34.37573
619,6.19000,34.44448
620,6.20000,34.51337
621,6.21000,34.58240
622,6.22000,34.65156
623,6.23000,34.72086
624,6.24000,34.79030
625,6.25000,34.85989
626,6.26000,34.92961
627,6.27000,34.99946
628,6.28000,35.06946
629,6.29000,35.13960
630,6.30000,35.20988
631,6.31000,35.28030
632,6.32000,35.35086
633,6.33000,35.42156
634,6.34000,35.49241
635,6.35000,35.56339
636,6.36000,35.63452
637,6.37000,35.70579
638,6.38000,35.77720
639,6.39000,35.84875
640,6.40000,35.92045
641,6.41000,35.99229
642,6.42000,36.06428
643,6.43000,36.13640
644,6.44000,36.20868
645,6.45000,36.28110
646,6.46000,36.35366
647,6.47000,36.42636
648,6.48000,36.49922
649,6.49000,36.57222
650,6.50000,36.64536
651,6.51000,36.71865
652,6.52000,36.79209
653,6.53000,36.86567
654,6.54000,36.93940
655,6.55000,37.01328
656,6.56000,37.08731
657,6.57000,37.16148
658,6.58000,37.23581
659,6.59000,37.31028
660,6.60000,37.38490
661,6.61000,37.45967
662,6.62000,37.53459
663,6.63000,37.60966
664,6.64000,37.68488
665,6.65000,37.76025
666,6.66000,37.83577
667,6.67000,37.91144
668,6.68000,37.98726
669,6.69000,38.06324
670,6.70000,38.13936
671,6.71000,38.21564
672,6.72000,38.29207
673,6.73000,38.36866
674,6.74000,38.44539
675,6.75000,38.52228
676,6.76000,38.59933
677,6.77000,38.67653
678,6.78000,38.75388
679,6.79000,38.83139
680,6.80000,38.90905
681,6.81000,38.98687
682,6.82000,39.06484
683,6.83000,39.14297
684,6.84000,39.22126
685,6.85000,39.29970
686,6.86000,39.37830
687,6.87000,39.45706
688,6.88000,39.53597
689,6.89000,39.61504
690,6.90000,39.69427
691,6.91000,39.77366
692,6.92000,39.85321
693,6.93000,39.93292
694,6.94000,40.01278
695,6.95000,40.09281
696,6.96000,40.17299
697,6.97000,40.25334
698,6.98000,40.33385
699,6.99000,40.41451
700,7.00000,40.49534
701,7.01000,40.57633
702,7.02000,40.65749
703,7.03000,40.73880
704,7.04000,40.82028
705,7.05000,40.90192
706,7.06000,40.98372
707,7.07000,41.06569
708,7.08000,41.14782
709,7.09000,41.23012
710,7.10000,41.31258
711,7.11000,41.39520
712,7.12000,41.47799
713,7.13000,41.56095
714,7.14000,41.64407
715,7.15000,41.72736
716,7.16000,41.81081
717,7.17000,41.89444
718,7.18000,41.97822
719,7.19000,42.06218
720,7.20000,42.14630
721,7.21000,42.23060
722,7.22000,42.31506
723,7.23000,42.39969
724,7.24000,42.48449
725,7.25000,42.56946
726,7.26000,42.65460
727,7.27000,42.73991
728,7.28000,42.82538
729,7.29000,42.91104
730,7.30000,42.99686
731,7.31000,43.08285
732,7.32000,43.16902
733,7.33000,43.25536
734,7.34000,43.34187
735,7.35000,43.42855
736,7.36000,43.51541
737,7.37000,43.60244
738,7.38000,43.68964
739,7.39000,43.77702
740,7.40000,43.86458
741,7.41000,43.95230
742,7.42000,44.04021
743,7.43000,44.12829
744,7.44000,44.21655
745,7.45000,44.30498
746,7.46000,44.39359
747,7.47000,44.48238
748,7.48000,44.57134
749,7.49000,44.66048
750,7.50000,44.74981
751,7.51000,44.83930
752,7.52000,44.92898
753,7.53000,45.01884
754,7.54000,45.10888
755,7.55000,45.19910
756,7.56000,45.28949
757,7.57000,45.38007
758,7.58000,45.47083
759,7.59000,45.56178
760,7.60000,45.65290
761,7.61000,45.74421
762,7.62000,45.83569
763,7.63000,45.92736
764,7.64000,46.01922
765,7.65000,46.11126
766,7.66000,46.20348
767,7.67000,46.29589
768,7.68000,46.38848
769,7.69000,46.48126
770,7.70000,46.57422
771,7.71000,46.66737
772,7.72000,46.76070
773,7.73000,46.85422
774,7.74000,46.94793
775,7.75000,47.04183
776,7.76000,47.13591
777,7.77000,47.23018
778,7.78000,47.32464
779,7.79000,47.41929
780,7.80000,47.51413
781,7.81000,47.60916
782,7.82000,47.70438
783,7.83000,47.79979
784,7.84000,47.89539
785,7.85000,47.99118
786,7.86000,48.08716
787,7.87000,48.18333
788,7.88000,48.27970
789,7.89000,48.37626
790,7.90000,48.47301
791,7.91000,48.56996
792,7.92000,48.66710
793,7.93000,48.76443
794,7.94000,48.86196
795,7.95000,48.95969
796,7.96000,49.05760
797,7.97000,49.15572
798,7.98000,49.25403
799,7.99000,49.35254
800,8.00000,49.45124
801,8.01000,49.55015
802,8.02000,49.64925
803,8.03000,49.74855
804,8.04000,49.84804
805,8.05000,49.94774
806,8.06000,50.04763
807,8.07000,50.14773
808,8.08000,50.24803
809,8.09000,50.34852
810,8.10000,50.44922
811,8.11000,50.55012
812,8.12000,50.65122
813,8.13000,50.75252
814,8.14000,50.85402
815,8.15000,50.95573
816,8.16000,51.05764
817,8.17000,51.15976
818,8.18000,51.26208
819,8.19000,51.36460
820,8.20000,51.46733
821,8.21000,51.57027
822,8.22000,51.67341
823,8.23000,51.77675
824,8.24000,51.88031
825,8.25000,51.98407
826,8.26000,52.08804
827,8.27000,52.19221
828,8.28000,52.29660
829,8.29000,52.40119
830,8.30000,52.50599
831,8.31000,52.61100
832,8.32000,52.71623
833,8.33000,52.82166
834,8.34000,52.92730
835,8.35000,53.03316
836,8.36000,53.13922
837,8.37000,53.24550
838,8.38000,53.35199
839,8.39000,53.45870
840,8.40000,53.56561
841,8.41000,53.67275
842,8.42000,53.78009
843,8.43000,53.88765
844,8.44000,53.99543
845,8.45000,54.10342
846,8.46000,54.21162
847,8.47000,54.32005
848,8.48000,54.42869
849,8.49000,54.53754
850,8.50000,54.64662
851,8.51000,54.75591
852,8.52000,54.86542
853,8.53000,54.97516
854,8.54000,55.08511
855,8.55000,55.19528
856,8.56000,55.30567
857,8.57000,55.41628
858,8.58000,55.52711
859,8.59000,55.63816
860,8.60000,55.74944
861,8.61000,55.86094
862,8.62000,55.97266
863,8.63000,56.08461
864,8.64000,56.19678
865,8.65000,56.30917
866,8.66000,56.42179
867,8.67000,56.53463
868,8.68000,56.64770
869,8.69000,56.76100
870,8.70000,56.87452
871,8.71000,56.98827
872,8.72000,57.10224
873,8.73000,57.21645
874,8.74000,57.33088
875,8.75000,57.44554
876,8.76000,57.56043
877,8.77000,57.67556
878,8.78000,57.79091
879,8.79000,57.90649
880,8.80000,58.02230
881,8.81000,58.13835
882,8.82000,58.25462
883,8.83000,58.37113
884,8.84000,58.48787
885,8.85000,58.60485
886,8.86000,58.72206
887,8.87000,58.83950
888,8.88000,58.95718
889,8.89000,59.07510
890,8.90000,59.19325
891,8.91000,59.31163
892,8.92000,59.43026
893,8.93000,59.54912
894,8.94000,59.66822
895,8.95000,59.78755
896,8.96000,59.90713
897,8.97000,60.02694
898,8.98000,60.14700
899,8.99000,60.26729
900,9.00000,60.38782
901,9.01000,60.50860
902,9.02000,60.62962
903,9.03000,60.75088
904,9.04000,60.87238
905,9.05000,60.99412
906,9.06000,61.11611
907,9.07000,61.23834
908,9.08000,61.36082
909,9.09000,61.48354
910,9.10000,61.60651
911,9.11000,61.72972
912,9.12000,61.85318
913,9.13000,61.97689
914,9.14000,62.10084
915,9.15000,62.22504
916,9.16000,62.34949
917,9.17000,62.47419
918,9.18000,62.59914
919,9.19000,62.72434
920,9.20000,62.84979
921,9.21000,62.97549
922,9.22000,63.10144
923,9.23000,63.22764
924,9.24000,63.35410
925,9.25000,63.48080
926,9.26000,63.60777
927,9.27000,63.73498
928,9.28000,63.86245
929,9.29000,63.99018
930,9.30000,64.11816
931,9.31000,64.24639
932,9.32000,64.37489
933,9.33000,64.50363
934,9.34000,64.63264
935,9.35000,64.76191
936,9.36000,64.89143
937,9.37000,65.02121
938,9.38000,65.15126
939,9.39000,65.28156
940,9.40000,65.41212
941,9.41000,65.54295
942,9.42000,65.67403
943,9.43000,65.80538
944,9.44000,65.93699
945,9.45000,66.06887
946,9.46000,66.20100
947,9.47000,66.33340
948,9.48000,66.46607
949,9.49000,66.59900
950,9.50000,66.73220
951,9.51000,66.86567
952,9.52000,66.99940
953,9.53000,67.13340
954,9.54000,67.26766
955,9.55000,67.40220
956,9.56000,67.53700
957,9.57000,67.67208
958,9.58000,67.80742
959,9.59000,67.94304
960,9.60000,68.07892
961,9.61000,68.21508
962,9.62000,68.35151
963,9.63000,68.48821
964,9.64000,68.62519
965,9.65000,68.76244
966,9.66000,68.89996
967,9.67000,69.03776
968,9.68000,69.17584
969,9.69000,69.31419
970,9.70000,69.45282
971,9.71000,69.59173
972,9.72000,69.73091
973,9.73000,69.87037
974,9.74000,70.01011
975,9.75000,70.15013
976,9.76000,70.29043
977,9.77000,70.43101
978,9.78000,70.57188
979,9.79000,70.71302
980,9.80000,70.85445
981,9.81000,70.99615
982,9.82000,71.13815
983,9.83000,71.28042
984,9.84000,71.42298
985,9.85000,71.56583
986,9.86000,71.70896
987,9.87000,71.85238
988,9.88000,71.99608
989,9.89000,72.14008
990,9.90000,72.28436
991,9.91000,72.42892
992,9.92000,72.57378
993,9.93000,72.71893
994,9.94000,72.86437
995,9.95000,73.01010
996,9.96000,73.15612
997,9.97000,73.30243
998,9.98000,73.44903
999,9.99000,73.59593
1000,10.00000,73.74312
1001,10.01000,73.89061
1002,10.02000,74.03839
1003,10.03000,74.18647
1004,10.04000,74.33484
1005,10.05000,74.48351
1006,10.06000,74.63248
1007,10.07000,74.78174
1008,10.08000,74.93131
1009,10.09000,75.08117
1010,10.10000,75.23133
1011,10.11000,75.38179
1012,10.12000,75.53256
1013,10.13000,75.68362
1014,10.14000,75.83499
1015,10.15000,75.98666
1016,10.16000,76.13863
1017,10.17000,76.29091
1018,10.18000,76.44349
1019,10.19000,76.59638
1020,10.20000,76.74957
1021,10.21000,76.90307
1022,10.22000,77.05688
1023,10.23000,77.21099
1024,10.24000,77.36541
1025,10.25000,77.52014
1026,10.26000,77.67518
1027,10.27000,77.83053
1028,10.28000,77.98620
1029,10.29000,78.14217
1030,10.30000,78.29845
1031,10.31000,78.45505
1032,10.32000,78.61196
1033,10.33000,78.76918
1034,10.34000,78.92672
1035,10.35000,79.08457
1036,10.36000,79.24274
1037,10.37000,79.40123
1038,10.38000,79.56003
1039,10.39000,79.71915
1040,10.40000,79.87859
1041,10.41000,80.03835
1042,10.42000,80.19842
1043,10.43000,80.35882
1044,10.44000,80.51954
1045,10.45000,80.68058
1046,10.46000,80.84194
1047,10.47000,81.00362
1048,10.48000,81.16563
1049,10.49000,81.32796
1050,10.50000,81.49062
1051,10.51000,81.65360
1052,10.52000,81.81691
1053,10.53000,81.98054
1054,10.54000,82.14450
1055,10.55000,82.30879
1056,10.56000,82.47341
1057,10.57000,82.63835
1058,10.58000,82.80363
1059,10.59000,82.96924
1060,10.60000,83.13518
1061,10.61000,83.30145
1062,10.62000,83.46805
1063,10.63000,83.63499
1064,10.64000,83.80226
1065,10.65000,83.96986
1066,10.66000,84.13780
1067,10.67000,84.30608
1068,10.68000,84.47469
1069,10.69000,84.64364
1070,10.70000,84.81292
1071,10.71000,84.98255
1072,10.72000,85.15252
1073,10.73000,85.32282
1074,10.74000,85.49347
1075,10.75000,85.66445
1076,10.76000,85.83578
1077,10.77000,86.00745
1078,10.78000,86.17947
1079,10.79000,86.35183
1080,10.80000,86.52453
1081,10.81000,86.69758
1082,10.82000,86.87098
1083,10.83000,87.04472
1084,10.84000,87.21881
1085,10.85000,87.39324
1086,10.86000,87.56803
1087,10.87000,87.74317
1088,10.88000,87.91865
1089,10.89000,88.09449
1090,10.90000,88.27068
1091,10.91000,88.44722
1092,10.92000,88.62412
1093,10.93000,88.80136
1094,10.94000,88.97897
1095,10.95000,89.15692
1096,10.96000,89.33524
1097,10.97000,89.51391
1098,10.98000,89.69294
1099,10.99000,89.87232
1100,11.00000,90.05207
1101,11.01000,90.23217
1102,11.02000,90.41264
1103,11.03000,90.59346
1104,11.04000,90.77465
1105,11.05000,90.95620
1106,11.06000,91.13811
1107,11.07000,91.32039
1108,11.08000,91.50303
1109,11.09000,91.68603
1110,11.10000,91.86940
1111,11.11000,92.05314
1112,11.12000,92.23725
1113,11.13000,92.42172
1114,11.14000,92.60657
1115,11.15000,92.79178
1116,11.16000,92.97736
1117,11.17000,93.16332
1118,11.18000,93.34965
1119,11.19000,93.53634
1120,11.20000,93.72342
1121,11.21000,93.91086
1122,11.22000,94.09869
1123,11.23000,94.28688
1124,11.24000,94.47546
1125,11.25000,94.66441
1126,11.26000,94.85374
1127,11.27000,95.04344
1128,11.28000,95.23353
1129,11.29000,95.42400
1130,11.30000,95.61485
1131,11.31000,95.80608
1132,11.32000,95.99769
1133,11.33000,96.18968
1134,11.34000,96.38206
1135,11.35000,96.57483
1136,11.36000,96.76798
1137,11.37000,96.96151
1138,11.38000,97.15544
1139,11.39000,97.34975
1140,11.40000,97.54445
1141,11.41000,97.73953
1142,11.42000,97.93501
1143,11.43000,98.13088
1144,11.44000,98.32715
1145,11.45000,98.52380
1146,11.46000,98.72085
1147,11.47000,98.91829
1148,11.48000,99.11613
1149,11.49000,99.31436
1150,11.50000,99.51299
