#t, S, I, R
1.452466 987.627249 11.994939 0.377812 
1.456273 987.582146 12.038216 0.379638 
1.460081 987.536879 12.081649 0.381472 
1.463888 987.491448 12.125240 0.383312 
1.467696 987.445852 12.168989 0.385159 
1.471504 987.400090 12.212898 0.387013 
1.475312 987.354161 12.256965 0.388873 
1.479121 987.308066 12.301193 0.390741 
1.482930 987.261803 12.345582 0.392615 
1.486739 987.215372 12.390132 0.394496 
1.490549 987.168772 12.434844 0.396384 
1.494358 987.122003 12.479718 0.398279 
1.498168 987.075063 12.524756 0.400181 
1.501979 987.027953 12.569957 0.402090 
1.505789 986.980671 12.615322 0.404007 
1.509600 986.933218 12.660852 0.405930 
1.513412 986.885592 12.706548 0.407860 
1.517223 986.837793 12.752410 0.409797 
1.521035 986.789820 12.798438 0.411742 
1.524847 986.741672 12.844634 0.413694 
1.528659 986.693350 12.890998 0.415652 
1.532472 986.644851 12.937530 0.417619 
1.536285 986.596176 12.984232 0.419592 
1.540098 986.547324 13.031103 0.421573 
1.543912 986.498294 13.078145 0.423560 
1.547725 986.449086 13.125358 0.425556 
1.551539 986.399699 13.172743 0.427558 
1.555354 986.350132 13.220300 0.429568 
1.559169 986.300384 13.268030 0.431586 
1.562984 986.250456 13.315933 0.433611 
1.566799 986.200346 13.364011 0.435643 
1.570615 986.150053 13.412264 0.437683 
1.574431 986.099578 13.460692 0.439730 
1.578247 986.048918 13.509296 0.441785 
1.582063 985.998075 13.558078 0.443848 
1.585880 985.947046 13.607036 0.445918 
1.589697 985.895831 13.656173 0.447996 
1.593515 985.844430 13.705489 0.450081 
1.597333 985.792841 13.754984 0.452174 
1.601151 985.741065 13.804660 0.454275 
1.604969 985.689100 13.854516 0.456384 
1.608788 985.636946 13.904553 0.458500 
1.612607 985.584602 13.954773 0.460625 
1.616426 985.532068 14.005176 0.462757 
1.620246 985.479342 14.055762 0.464897 
1.624066 985.426423 14.106532 0.467045 
1.627886 985.373313 14.157487 0.469200 
1.631707 985.320008 14.208628 0.471364 
1.635528 985.266509 14.259954 0.473536 
1.639349 985.212816 14.311468 0.475716 
1.643171 985.158927 14.363169 0.477904 
1.646993 985.104841 14.415059 0.480100 
1.650815 985.050558 14.467138 0.482304 
1.654638 984.996078 14.519406 0.484516 
1.658461 984.941399 14.571865 0.486737 
1.662284 984.886520 14.624514 0.488966 
1.666108 984.831441 14.677356 0.491203 
1.669932 984.776162 14.730390 0.493448 
1.673756 984.720681 14.783617 0.495701 
1.677581 984.664998 14.837039 0.497963 
1.681406 984.609112 14.890655 0.500233 
1.685231 984.553022 14.944466 0.502512 
1.689057 984.496727 14.998473 0.504799 
1.692883 984.440227 15.052678 0.507095 
1.696709 984.383521 15.107080 0.509399 
1.700536 984.326609 15.161680 0.511712 
1.704363 984.269488 15.216479 0.514033 
1.708190 984.212160 15.271478 0.516363 
1.712018 984.154622 15.326677 0.518701 
1.715846 984.096874 15.382078 0.521048 
1.719675 984.038915 15.437681 0.523404 
1.723504 983.980745 15.493486 0.525768 
1.727333 983.922363 15.549495 0.528142 
1.731162 983.863767 15.605709 0.530524 
1.734992 983.804958 15.662127 0.532915 
1.738822 983.745934 15.718751 0.535315 
1.742653 983.686695 15.775582 0.537723 
1.746484 983.627239 15.832620 0.540141 
1.750315 983.567567 15.889866 0.542568 
1.754147 983.507676 15.947321 0.545003 
